1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19
19 12 16  9  1 11  3 14  6 17 10  2 13  4 15  8  5  7 18
18  5 16  8 19 11  4 14  7 17  9  2 12  6 15 13  1 10  3
3  5 17 11  1 12  4 16  6 18  9  7 13  8 15 10 19 14  2
2  5 18 10  1 13  3 15  6 19  9  4 12  7 16 14  8 11 17
17  5 19 10  4 11  6 14  9 18 12  1 16  2  8  3 13  7 15
15  7  1  9  3 11  5 14 10 17 12  2 16  4 18 13 19  6  8
8  6 16 11  2 14  3 17  7 19 13  5 12 10  9 15  1 18  4
4  7  2  9 19 15  3 16 10 18 11  8 12 14  5  1 17  6 13
13  9  5 10  6 11  7 14 12 17 15  2 19  1  4  3  8 18 16
16  7  3 10  5 11  9 14 13 17 19  2 15 12 18  8  4  1  6
6  9  8 13  2 11 10 14 16 18 15  4 19 17  1  3  7 12  5
5  8 16 12 19 18  6  1 14  4  9 11 13 15 17  3  2  7 10
10  8  1 15 19 16  5  2  4  6  3  9 12 11 14 17 13 18  7
7  6  2 17  4 13 10 15 11 16 19  8 14 18  1  5  3 12  9
9 13  6 12  3 18 17  2 10 16  1 19  5  4  8  7 11 15 14
14  1  7  9  6 10 12  8  2 18  3 19  4 17 16 15  5 13 11
11 18  2  1  8 17 14 19  3  6  4 10  7  5 15  9 16 13 12
12 15 18 14 11 19  7  4  2  6  5  9 17  8 10 13 16  3  1
8  7  19 16 13 12  1  6  2  17 15 4 9   3 14 10 18 5  11
